season,h7,h14,h21,h28
winter,-14.612583230136254,-17.214408094899454,-19.069132048874298,-18.60578818817057
spring,-26.916652688995992,-28.816906991777756,-27.49681537931036,-28.872776762810464
summer,-136.34358319869057,-163.9515732251386,-173.57756026986254,-159.439454092872
autumn,-23.024033830519624,-23.840837270485487,-24.868376080348163,-25.612431038150742
