variant,fold_id,station_id,season_or_regime,horizon,actual_event,model_brier,persistence_brier,global_climatology_brier,seasonal_or_regime_climatology_brier
A_p90_exclude_summer,38,Avda. Francia,autumn,7,0,0.23061742004075875,0.0,0.008520710059171599,0.014913249378835822
A_p90_exclude_summer,38,Moli del Sol,autumn,7,0,0.24797888802202586,0.0,0.009971590923441478,0.0058801776053644065
A_p90_exclude_summer,38,Pista Silla,autumn,7,0,0.051138841398524794,0.0,0.008800517777376948,0.011002983030955059
A_p90_exclude_summer,38,Politecnico,autumn,7,0,0.33474839941658907,0.0,0.009356594239949655,0.013393510920338341
A_p90_exclude_summer,38,Puerto Valencia,autumn,7,0,0.4066235360100249,0.0,0.009277974242503243,0.012075836251660426
A_p90_exclude_summer,39,Avda. Francia,autumn,7,0,0.17000870323466802,0.0,0.008459863561200456,0.014509297520661157
A_p90_exclude_summer,39,Moli del Sol,autumn,7,0,0.22618281497766993,0.0,0.009929203762386199,0.005789224952741021
A_p90_exclude_summer,39,Pista Silla,autumn,7,0,0.0269864771704218,0.0,0.008760521968426253,0.010820616303831363
A_p90_exclude_summer,39,Politecnico,autumn,7,0,0.27272871166032137,0.0,0.009320393550003922,0.013214734135841835
A_p90_exclude_summer,39,Puerto Valencia,autumn,7,0,0.24912907649531985,0.0,0.009054609020485866,0.010628122010840683
A_p90_exclude_summer,40,Avda. Francia,autumn,7,0,0.18939868295830423,0.0,0.008399666502129989,0.014058425796635788
A_p90_exclude_summer,40,Moli del Sol,autumn,7,0,0.21376779797742437,0.0,0.009880092778602011,0.00566539484333449
A_p90_exclude_summer,40,Pista Silla,autumn,7,0,0.03260644916236237,0.0,0.010038948356523188,0.011775827194783239
A_p90_exclude_summer,40,Politecnico,autumn,7,0,0.26790259584933285,0.0,0.009284402545216498,0.013010648643809426
A_p90_exclude_summer,40,Puerto Valencia,autumn,7,0,0.1630929373523494,0.0,0.010171670684491197,0.011187130177514793
A_p90_exclude_summer,41,Avda. Francia,autumn,7,0,0.19812947185474294,0.0,0.008340109672442192,0.013628248170932875
A_p90_exclude_summer,41,Moli del Sol,autumn,7,0,0.2632957340900478,0.0,0.009831345258627345,0.005545495699411498
A_p90_exclude_summer,41,Pista Silla,autumn,7,0,0.033353101579349925,0.0,0.009993530648721763,0.011552593826646305
A_p90_exclude_summer,41,Politecnico,autumn,7,0,0.2961986398574967,0.0,0.009248619609296866,0.012811254679386548
A_p90_exclude_summer,41,Puerto Valencia,autumn,7,1,0.4641841687905142,1.0,0.8075693937180425,0.8116224332440549
A_p90_exclude_summer,42,Avda. Francia,autumn,7,0,0.27857082234361685,0.0,0.008281184025289306,0.01321751732769938
A_p90_exclude_summer,42,Moli del Sol,autumn,7,0,0.36944380648868935,0.0,0.009992961464233495,0.006114534456441857
A_p90_exclude_summer,42,Pista Silla,autumn,7,0,0.07459567179131248,0.0,0.009948420459939794,0.01133564853495688
A_p90_exclude_summer,42,Politecnico,autumn,7,0,0.3816313948366589,0.0,0.009318939319674542,0.013111124060369442
A_p90_exclude_summer,42,Puerto Valencia,autumn,7,1,0.20062811784539458,0.0,0.8127067650313126,0.7767882792301063
A_p90_exclude_summer,43,Avda. Francia,autumn,7,0,0.3253830059882962,0.0,0.008314499806483132,0.013313609467455623
