variant,season_or_regime,h7,h14,h21,h28
A_p90_exclude_summer,autumn,-1.648377918429651,-1.8432077541256402,-1.7241773554466748,-1.69054148457816
A_p90_exclude_summer,spring,-2.508237658299525,-2.7080215085954396,-2.276101897585129,-2.3613286758880854
A_p90_exclude_summer,winter,-0.10825339373623177,-0.2265085476841462,-0.3339596977286132,-0.31059546509864955
B_p85_all_seasons,autumn,-0.854923763786972,-0.9338875924841432,-0.894024642812195,-0.97665254910469
B_p85_all_seasons,spring,-1.529062507998785,-1.6207491010527555,-1.502386183009008,-1.4145470640877114
B_p85_all_seasons,summer,-1.0779280992309275,-1.141391108201542,-1.2536315833953608,-1.3083180597409276
B_p85_all_seasons,winter,0.11411996359370369,0.012301617712754953,-0.038293640038487675,-0.04820495492214727
C_p90_grouped_regimes,cold,-0.4608248727819846,-0.6087180687460392,-0.6789532095926643,-0.6785660094323045
C_p90_grouped_regimes,warm,-2.7721972936433295,-2.903306276430908,-2.659776075883901,-2.7465791447696364
